Term_English;Istilah_Indonesia;Definisi
Meningitis;Meningitis;Sebuah jenis peradangan pada meninges (bagian dari tudung dari otak), biasanya disebabkan oleh bakteri, virus atau jamur.
Meridional Overturning Circulation;MOC;Merupakan sirkulasi jungkir balik utara selatan (meridional) di laut dihitung secara akumulasi zonal (timur-barat) jumlah angkutan massa air di lapisan kedalaman atau kepadatan. Sirkulasi jungkir balik ini terjadi di Atlantik Utara, jauh dari daerah subkutub, MOC (yang pada prinsipnya kuantitas diamati) seringkali diidentifikasi dengan sirkulasi termohalin (THC), yang lebih merupakan interpretasi konseptual. Namun, harus diingat bahwa MOC dapat juga termasuk sel sirkulasi laut dangkal, yang digerakkan oleh angin seperti terjadi pada lapisan atas laut di daerah tropis dan subtropis, di mana hangat (cahaya) perairan bergerak menuju arah kutub diubah untuk sedikit lebih padat perairan dan equatorward subduksi pada tingkat yang lebih dalam.
Metadata;Metadata;Informasi tentang data meteorologi dan klimatologi mengenai bagaimana dan kapan mereka diukur, bagaimana kualitas mereka, masalah dan karakteristik ditemui dan hal lainnya yang berhubungan dengan masalah pengukuran. 104
Methane;CH4 metana;Metana adalah salah satu dari enam gas rumah kaca yang hendak dikurangi di bawah Protokol Kyoto. Ini adalah komponen utama gas alam dan terkait dengan semua bahan bakar hidrokarbon, peternakan dan pertanian. Coal-bed methane adalah gas yang ditemukan di lapisan batubara.
Methane recovery;Methane recovery;Emisi metan (Ch4), misalnya dari sumur minyak atau gas, lahan tidur batubara, rawa gambut, jaringan pipa transmisi gas, pembuangan sampah, atau digester anaerobik, di daya gunakan dengan ditangkap dan digunakan sebagai bahan bakar atau untuk tujuan ekonomi lainnya (misalnya, bahan baku kimia).
Methodology;Methodology;CDM dan Proyek JI harus mengikuti metodologi yang telah disetujui dalam pengaturan dasar-dasar, pemantau, dan proses verifikasi. Daftar metodologi-metodologi yang telah disetujui berkembang secara berkelanjutan, dan tambahan-tambahan proyek dapat mendaftarkan metode-metode barunya untuk mendapat persetujuan (dalam konteks sebuah proyek yang sedang dilakukan ) kepada CDM EB.
Metric;Metric;Sebuah pengukuran yang konsisten dari karakteristik dari sebuah objek atau kegiatan yang dinyatakan sulit untuk diukur.
Microclimate;Microclimate;Merupakan iklim lokal pada atau dekat permukaan bumi.
Millennium Development Goals;MDGs;Daftar sepuluh tujuan pembangunan, termasuk memberantas kemiskinan dan kelaparan ekstrim, meningkatkan kesehatan ibu, dan memastikan lingkungan keberlanjutan, yang diadopsi pada tahun 2000 oleh Majelis Umum PBB, yakni, 191 negara, dengan tujuan untuk dicapai pada tahun 2015. MDGs menyatakan komitmen masyarakat internasional untuk visi pembangunan diperluas, dan telah umum diterima sebagai kerangka kerja untuk mengukur kemajuan pembangunan. 105
Min Tmax;Min Tmax;Nilai minimum bulanan dari suhu maksimum harian.
Min Tmin;Min Tmin;Nilai minimum bulanan dari suhu minimum harian.
Mires;Mires;Upaya pengumpulan gambut lahan basah
Mitigation;mitigasi;Tindakan untuk mengurangi emisi GRK dan untuk meningkatkan penyimpanan karbon dalam rangka mengatasi perubahan iklim. Dalam pengertian yang lain digambarkan sebagai sebuah upaya intervensi manusia untuk mengurangi sumber atau meningkatkan penyerapan (rosot) gas rumah kaca di atmosfir. Upaya untuk mengatasi penyebab pemanasan global dan perubahan iklim. Upaya untuk menghindari yang tidak dapat dikendalikan di masa depan.
Mitigative capacity;kapasitas mitigasi;Ini adalah kemampuan suatu negara untuk mengurangi emisi GRK antropogenik atau untuk meningkatkan penyerapan atau sink alamiah, di mana kemampuan mengacu pada keterampilan, kompetensi, kebugaran dan keahlian bahwa suatu negara dalam mencapai dan tergantung pada teknologi, lembaga, kekayaan, ekuitas, infrastruktur dan informasi. Kapasitas Mitigasi berakar pada rencana aksi pembangunan berkelanjutan suatu negara.
Mixed layer;Mixed layer;Daerah di atas laut dekat permukaan laut, dimana terjadi percampuran yang memadai dengan interaksi dengan atmosfir diatasnya.
Modes of climate variability;Modes of climate variability;"Merupakan sistem variabilitas iklim alamiah, khususnya pada skala musiman dan waktu yang lebih lama, terutama terjadi dengan pola spasial dan pola temporal tertentu, melalui karakteristik dinamik dari atmosfer sirkulasi dan melalui interaksi dengan tanah dan laut permukaan. Pola seperti ini sering disebut 106 rezim, mode atau telekoneksi. Contohnya adalah Osilasi Atlantik Utara (NAO), Pasifik-pola Amerika Utara (PNA), El NiñoSouthern Oscillation (ENSO), Mode annular Utara (NAM; sebelumnya disebut Arctic Oscillation, AO) dan annular Selatan Mode (SAM; sebelumnya disebut Osilasi Antartika, AAO). Lihat juga Pola variabilitas iklim."
Mole fraction;fraksi molaritas;Fraksi molaritas, atau rasio pencampuran, adalah rasio dari jumlah molaritas suatu senyawa dalam volume tertentu terhadap total jumlah molaritas dari semua senyawa dalam volume yang diukur. Hal ini biasanya dilaporkan untuk kondisi pada udara kering. Nilai khas untuk gas rumah kaca berumur panjang berada di urutan µmol mol-(bagian per juta: ppm), nmol mol-(bagian per miliar: ppb), dan fmol mol-(bagian per triliun: ppt). Fraksi molaritas berbeda dari rasio volume pencampuran, dan sering dinyatakan dalam ppmv dll, oleh koreksi untuk gas non-ideal. Koreksi ini adalah relatif nyata terhadap akurasi pengukuran untuk kebanyakan gas rumah kaca. (Schwartz dan Warneck, 1995).
Monitoring;Monitoring;Monitoring adalah usaha pengeluaran ukuran data kunci dan penentuan pemberian izin reduksi emisi gas rumah kaca.
Monsoon;muson;Dari asal katanya berarti musim dalam bahasa arab. Muson merupakan variasi hujan yaitu pembalikan musiman tropis dan subtropis baik dalam angin permukaan dan curah hujan yang terkait, yang disebabkan oleh perbedaan pemanasan antara daratan skala luas (benua) dan lautan yang berdekatan. Analogi pada skala lokal adalah angin darat dan angin laut yang terjadi siang dan malam. Musim hujan terjadi terutama atas tanah di musim panas.
Montreal Protocol;Montreal Protocol;Pada Montreal Protokol disepakati mengenai bahan yang merusak lapisan ozon dan telah diadopsi di Montreal pada tahun 1987, dan disesuaikan dan diubah di London (1990), Kopenhagen (1992), Wina (1995), Montreal (1997) dan Beijing (1999). Protokol tersebut mengontrol konsumsi dan produksi klorin dan bahan kimia yang mengandung bromine yang merusak ozon stratosfir, seperti chlorofluorocarbon, metil kloroform, karbon tetraklorida dan banyak lainnya.
Montane;Montane;Zona biogeografi terdiri dari kelembaban relatif, dataran tinggi yang dingin di lereng bawah zona sub-alpin yang ditandai dengan kehadiran daun campuran hijau di bawah dan jenis hutan konifera pada ketinggian yang lebih tinggi.
Morbidity;Morbidity;Tingkat terjadinya penyakit atau gangguan kesehatan lainnya dalam penduduk, dengan mempertimbangkan usia tertentu adalah dikenal sebagai tingkat morbiditas. Indikator morbiditas termasuk kejadian penyakit kronis / prevalensi, tingkat rawat inap, konsultasi perawatan primer, cacathari (yaitu hari ketidakhadiran kerja), dan prevalensi gejala.
Morphology;Morphology;Bentuk dan struktur organisme atau bentuk lahan, atau dari bagiannya
Microwave Sounding Unit;MSU;Sebuah satelit microwave yang membawa sounder untuk memperkirakan tebal lapisan suhu dari suasana atmosfer dengan mengukur emisi termal molekul oksigen memakai emisi pada spektrum frekuensi dekat GHz. Satelit seri A dari sembilan MSU mulai melakukan berbagai jenis pengukuran pada tahun 1978-an. Dimulai pada pertengahan 1998, serangkaian tindak lanjut dari instrumen, Advance Microwave Sounding Unit (AMSUs), mulai dioperasikan.
Mortality;Mortality;"Tingkat laju terjadinya kematian penduduk; perhitungan mortaliti memasukkan usia tertentu angka kematian, dan dengan demikian dapat menghasilkan ukuran harapan hidup dan tingkat kematian dini. 108"
Multi-attribute analysis;Multi-attribute analysis;Mengintegrasikan parameter keputusan yang berbeda dan nilainilai dalam kuantitatif analisis tanpa menempatkan nilai moneter untuk semua parameter. Multi-atribut dapat menggabungkan analisis kuantitatif dan kualitatif informasi.
Multi-gas;Multi-gas;Selanjutnya CO2 juga gas-gas rumah kaca lainnya (metana, dinitrogen oksida dan gas terfluorinasi) diperhitungkan di misalnya dalam target untuk mencapai pengurangan emisi (multipengurangan gas) atau stabilisasi konsentrasi (multi-gas stabilisasi).
Multilateral CDM;Multilateral CDM;Sebuah proyek CDM multilateral melibatkan negara investor, negara tuan rumah dan pihak ketiga sebagai penyandang dana. 109
National Action Plans;Rencana Aksi Nasional;Rencana nasional yang diajukan kepada COP oleh pihak negara dengan menguraikan langkah-langkah yang telah mereka adopsi untuk membatasi emisi GRK antropogenik mereka. Negara harus menyerahkan rencana ini sebagai syarat untuk berpartisipasi dalam UNFCCC dan, kemudian, harus berkomunikasi mengenai kemajuan rencana mereka secara teratur ke COP. Rencana Aksi Nasional merupakan bagian dari Komunikasi Nasional, yang meliputi ketersediaan kapasitas nasional dalam hal sumber dan penyerap GRK.
National Authority;Otoritas Nasional;Otoritas nasional adalah badan resmi yang mewakili Pemerintah dalam mengambil bagian dalam penyusunan CDM / proyek JI. Negara tuan rumah JI, otoritas nasional menyetujui proyek dan isu-isu pengurangan emisi.
National Focal Point;National Focal Point;The National Focal Point (NFP) di negara-negara yang telah menandatangani UNFCCC adalah titik kontak pertama dalam pemerintahan untuk komunikasi mengenai UNFCCC.
Nationally Appropriate Mitigation Action;NAMA;Merupakan aksi mitigasi yang layak secara nasional, adalah tindakan sukarela yang dilakukan oleh negara berkembang untuk mengurangi emisis karbonnya sejalan dengan konteks ekonomi, lingkungan, sosial dan politik negara tersebut.
Net anthropogenic greenhouse gas removals by sinks;Besaran bersih dari GRK yang diserap;Untuk proyek aforestasi dan reforestasi CDM (Clean Development Mechanism), antropogenik GRK netto yang diserap sama dengan kepindahan sebenarnya GRK bersih oleh rosot dikurangi dengan nilai baseline gas rumah kaca dikurangi oleh kebocoran rosot bersih. 111
Net biome production;NBP;Produksi biome bersih adalah produksi bersih ekosistem (NEP) dikurangi kerugian karbon akibat gangguan seperti kebakaran atau defoliasi serangga.
Net ecosystem production;NEP;Produksi ekosistem bersih yang merupakan selisih antara produksi primer bersih (PLTN) dan respirasi heterotrofik ekosistem (kebanyakan dekomposisi bahan organik mati) berlaku pada daerah yang sama (lihat juga produksi biome bersih NBP).
Net primary production;NPP;Produksi primer bersih adalah produksi kotor dikurangi respirasi autotrophic utama, yaitu jumlah dari proses metabolisme yang diperlukan untuk pertumbuhan tanaman dan pemeliharaan, pada wilayah area yang sama.
Nitrogen oxides;Nox;Setiap senyawa dari beberapa oksida nitrogen.
Nitrous oxide;N2O;Salah satu dari enam jenis gas rumah kaca akan diatur di bawah Protokol Kyoto.
No regrets policy;No regrets policy;Sebuah kebijakan yang akan menghasilkan manfaat sosial dan / atau ekonomi bersih terlepas dari apakah perubahan iklim antropogenik terjadi atau tidak.
No-Regrets Mitigation Options;No-Regrets Mitigation Options;Merupakan pilihan mitigasi yang memiliki manfaat sama atau lebih dari biaya yang dikeluakan.
Non-Annex I Countries/Parties;Non-Annex I Countries/Parties;Negara-negara yang telah meratifikasi atau mengaksesi UNFCCC tetapi tidak termasuk dalam Lampiran I Kyoto Protocol.
Non-Annex B Countries/Parties;Non-Annex B Countries/Parties;Negara-negara yang tidak termasuk dalam grup Annex B dari Protokol Kyoto. 112
Nonlinearity;Nonlinearity;Sebuah proses disebut nonlinier ketika tidak ada hubungan proporsional sederhana antara sebab dan akibat. Sistem iklim berisi banyak sekali proses nonlinier seperti iklim ekstrim, yang menghasilkan sistem dengan perilaku yang berpotensi sangat kompleks. Kompleksitas tersebut dapat mengakibatkan perubahan iklim yang mendadak.
Non-market impacts;Non-market impacts;Dampak yang mempengaruhi ekosistem atau kesejahteraan manusia, tetapi yang tidak mudah dinyatakan dalam istilah moneter, misalnya, peningkatan risiko kematian dini, atau peningkatan jumlah orang yang beresiko kelaparan.
North Atlantic Oscillation;NAO;Osilasi Atlantik Utara terdiri dari variasi tekanan udara yang berlawanan antara di dekat Islandia dan di dekat Azores. Fenomena ini sesuai dengan fluktuasi kekuatan angin barat dominan yang melintasi Atlantik menuju ke Eropa, dan dengan demikian fluktuasi siklon tertanam dengan inheren karena terkait sistem frontal.
Normative analysis;Normative analysis;Analisis ekonomi di mana penilaian mengenai keinginan berbagai kebijakan yang dibuat. Kesimpulan sisanya terdapat pada penilaian norma serta pada fakta dan teori.
Northern Annular Mode;NAM;Fluktuasi musim dingin di amplitudo dari pola ditandai dengan tekanan rendah permukaan di kawasan Kutub Utara dan aliran angin baratan yang kuat di lintang pertengahan. NAM memiliki hubungan dengan pusaran kutub utara ke lapisan stratosfir. Pola tersebut memiliki pengaruh ke Atlantik Utara dan memiliki korelasi yang nyata dengan Osilasi Atlantik Utara.
Normalised difference vegetation index;NDVI;Suatu ukuran berbasis teknologi satelit penginderaan jauh dari tingkat 'kehijauan' dari tutupan vegetasi muka bumi. 113
Ocean acidification;Ocean acidification;Penurunan pH air laut karena penyerapan karbon dioksida antropogenik.
Ocean heat uptake efficiency;Ocean heat uptake efficiency;Ini adalah ukuran (W m-2 °C-1) dari tingkat di mana penyimpanan panas dalam lautan global meningkat mengikuti naiknya suhu permukaan laut global. Parameter ini berguna untuk eksperimen pemodelan iklim di mana dorongan radiasi berubah monoton. Parameter ini juga dapat dibandingkan dengan sensitivitas parameter iklim untuk mengukur pengaruh relatif respon serapan iklim dan panas laut dalam menentukan laju perubahan iklim. Dalam hal ini dapat diperkirakan dari kenaikan 1% per tahun konsentrasi karbon dioksida di atmosfer dalam sebuah eksperimen pemodelan iklim sebagai rasio dari peran global ratarata radiasi netto yang diterima muka bumi terhadap response transient (jangka panjang) perubahan iklim.
Off-take contract;Off-take contract;Hal ini mengacu pada pengaturan dimana Pembeli setuju untuk membeli kredit karbon yang dihasilkan oleh semua kegiatan proyek, tanpa hukuman kepada Penjual untuk hasil yang lebih rendah dari CER yang telah diperkirakan. Pengaturan ini mengikat secara hukum dalam ERPA.
Oil sands and oil shale;Oil sands and oil shale;Lapisan geologi yang tidak dikonsolidasi serta berpori pasir, batu pasir batu dan serpih mengandung bahan bitumen yang dapat ditambang dan diubah menjadi cairan bahan bakar.
Ombrotrophic bog;Ombrotrophic bog;Sejenis asam gambut di lahan sawah tadah hujan (bukan air tanah) dan dengan demikian lahan tersebut khususnya miskin akan nutrisi. 115
Opportunities;Kesempatan;Keadaan untuk mengurangi kesenjangan antara setiap potensi teknologi atau praktek pasar dengan potensi ekonomi atau potensi teknis.
